,numberOfEpisodes,Finalization,originalTitle,startYear,endYear,runtimeMinutes,averageRating,numVotes,GenderMale,GenderFeMale,genre_action,genre_adult,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_musical,genre_mystery,genre_news,genre_romance,genre_sci-fi,genre_talk-show,genre_thriller,genre_war,genre_western,numberEpisodePrediction
69,8,0,Bill & Ted's Excellent Adventures,0.0714285714285694,0,0.28358208955223885,0.5747126436781609,8.979407972666684e-05,0.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
70,13,0,Billy,0.0714285714285694,0,0.28358208955223885,0.5632183908045976,2.8434791913444494e-05,0.4,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
71,23,0,Bingles,0.0714285714285694,0,0.28358208955223885,0.48275862068965514,2.244851993166671e-06,0.6000000000000001,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
72,13,0,Covington Cross,0.0714285714285694,0,0.7313432835820896,0.7586206896551724,0.00016686733149205585,0.6000000000000001,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
73,34,0,Dangerous Curves,0.0714285714285694,0,0.7313432835820896,0.5977011494252874,3.891076788155562e-05,0.2,0.6000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
74,17,0,Delta,0.0714285714285694,0,0.28358208955223885,0.7241379310344827,1.4965679954444473e-05,0.2,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
75,13,0,Great Scott!,0.0714285714285694,0,0.28358208955223885,0.7241379310344827,2.3196803929388934e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
76,9,0,Hearts Are Wild,0.0714285714285694,0,0.7313432835820896,0.7471264367816092,1.496567995444447e-06,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
77,13,0,The Heights,0.0714285714285694,0,0.7313432835820896,0.6781609195402298,0.00011897715563783355,0.6000000000000001,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
78,8,0,Human Target,0.0714285714285694,0,0.7313432835820896,0.6666666666666666,7.782153576311126e-05,0.6000000000000001,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
79,18,0,Jack's Place,0.0714285714285694,0,0.7313432835820896,0.6436781609195401,2.0203667938500038e-05,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
80,18,0,The Jackie Thomas Show,0.0714285714285694,0,0.28358208955223885,0.4252873563218391,8.680094373577794e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
81,7,0,Julie,0.0714285714285694,0,0.28358208955223885,0.7586206896551724,2.6938223918000046e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
82,26,0,Klasses julkalender,0.0714285714285694,0,0.28358208955223885,0.632183908045977,3.367277989750006e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0
83,13,0,Late for School,0.0714285714285694,0,0.28358208955223885,0.7816091954022988,1.496567995444447e-06,0.6000000000000001,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
84,10,0,Laurie Hill,0.0714285714285694,0,0.28358208955223885,0.6206896551724137,3.7414199886111177e-06,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
85,13,0,Likely Suspects,0.0714285714285694,0,0.28358208955223885,0.7701149425287356,4.489703986333342e-06,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
86,9,0,Mann & Machine,0.0714285714285694,0,0.7313432835820896,0.8390804597701149,0.00018557443143511144,0.2,0.6000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
87,26,0,The New Adventures of Black Beauty,0.0714285714285694,0,0.19402985074626863,0.7241379310344827,1.870709994305559e-05,0.6000000000000001,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
88,7,0,On the Air,0.0714285714285694,0,0.28358208955223885,0.7126436781609196,0.0005784235302392788,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0
89,19,0,Out All Night,0.0714285714285694,0,0.28358208955223885,0.7816091954022988,8.156295575172237e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
90,14,0,Peter und Paul,0.0714285714285694,0,0.5820895522388059,0.6666666666666666,2.9931359908888947e-06,0.8,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
91,13,0,"Rachel Gunn, R.N.",0.0714285714285694,0,0.28358208955223885,0.6781609195402298,8.23112397494446e-06,0.2,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
92,65,0,The Real West,0.0714285714285694,0,0.5820895522388059,0.793103448275862,5.013502784738898e-05,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
93,13,0,Rhythm & Blues,0.0714285714285694,0,0.28358208955223885,0.7241379310344827,7.482839977222235e-06,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
94,26,0,Room for Two,0.0714285714285694,0,0.28358208955223885,0.7471264367816092,1.646224794988892e-05,0.4,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
95,7,0,The Round Table,0.0714285714285694,0,0.7313432835820896,0.5632183908045976,1.7210531947611142e-05,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
96,13,0,Shelley Duvall's Bedtime Stories,0.0714285714285694,0,0.28358208955223885,0.7241379310344827,7.108697978361125e-05,0.4,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
97,7,0,Stand by Your Man,0.0714285714285694,0,0.28358208955223885,0.5977011494252874,2.0951951936222262e-05,0.2,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
98,12,0,Tequila and Bonetti,0.0714285714285694,0,0.7313432835820896,0.5862068965517241,0.0001960504074032226,0.6000000000000001,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
99,15,0,True Crimes,0.035714285714277594,0,0.28358208955223885,0.6781609195402298,2.244851993166671e-06,0.6000000000000001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
100,7,0,Vinnie & Bobby,0.0714285714285694,0,0.28358208955223885,0.4367816091954023,4.639360785877786e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
